stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epoch=75/400 train_loss=0.0051 val_loss=2.0654 val_acc1=53.188 best=53.448 lr=9.187e-04 sec=1872.4
epoch=76/400 train_loss=0.0051 val_loss=2.0749 val_acc1=53.408 best=53.448 lr=9.166e-04 sec=1874.9
epoch=77/400 train_loss=0.0050 val_loss=2.0472 val_acc1=53.770 best=53.770 lr=9.144e-04 sec=1872.4
epoch=78/400 train_loss=0.0050 val_loss=2.0587 val_acc1=53.628 best=53.770 lr=9.122e-04 sec=1873.0
epoch=79/400 train_loss=0.0050 val_loss=2.0113 val_acc1=54.484 best=54.484 lr=9.100e-04 sec=1873.7
epoch=80/400 train_loss=0.0050 val_loss=2.0271 val_acc1=54.188 best=54.484 lr=9.077e-04 sec=1869.3
epoch=81/400 train_loss=0.0050 val_loss=2.0352 val_acc1=54.236 best=54.484 lr=9.055e-04 sec=1864.3
epoch=82/400 train_loss=0.0050 val_loss=2.0158 val_acc1=54.214 best=54.484 lr=9.032e-04 sec=1868.6
epoch=83/400 train_loss=0.0050 val_loss=2.0103 val_acc1=54.740 best=54.740 lr=9.008e-04 sec=1868.1
epoch=84/400 train_loss=0.0050 val_loss=1.9739 val_acc1=54.932 best=54.932 lr=8.985e-04 sec=1862.0
epoch=85/400 train_loss=0.0050 val_loss=2.0252 val_acc1=54.174 best=54.932 lr=8.961e-04 sec=1866.3
epoch=86/400 train_loss=0.0050 val_loss=1.9815 val_acc1=55.156 best=55.156 lr=8.937e-04 sec=1877.3
epoch=87/400 train_loss=0.0050 val_loss=1.9587 val_acc1=55.302 best=55.302 lr=8.913e-04 sec=1864.3
epoch=88/400 train_loss=0.0049 val_loss=1.9516 val_acc1=55.306 best=55.306 lr=8.889e-04 sec=1868.5
epoch=89/400 train_loss=0.0049 val_loss=1.9446 val_acc1=55.512 best=55.512 lr=8.864e-04 sec=1865.3
